,e0:d1:73:d8:74:90,e0:d1:73:d8:74:94,e0:d1:73:d8:74:91,e0:d1:73:d8:74:92,e0:d1:73:d8:74:95
1454081914257,-60,-60,-61,-60,-75
1454081917705,-67,-60,-67,-67,-75
1454081921099,-65,-66,-65,-65,-66
1454081924491,-81,-82,-81,-81,-66
1454081927824,-83,-82,-81,-81,-82
1454081931178,-83,-82,-81,-81,-82
