,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:ae
1454082605729,-58,-57,-60,-95,-62,-68,-58,-67,-67,-68,-58,-67,-61,-55,-68,-65,-67,-64,-68,-61,-67,-63,-60,-63,-63,-68,-64,-66
1454082609052,-55,-57,-60,-95,-62,-70,-58,-70,-70,-68,-58,-70,-55,-57,-64,-65,-65,-66,-67,-56,-65,-60,-64,-62,-60,-64,-64,-95
1454082612383,-58,-60,-58,-61,-95,-70,-95,-63,-65,-67,-60,-63,-55,-57,-67,-69,-69,-66,-69,-55,-69,-60,-64,-66,-66,-66,-66,-77
1454082615710,-61,-58,-61,-60,-60,-70,-61,-67,-68,-68,-60,-68,-60,-57,-68,-63,-63,-63,-64,-55,-63,-59,-64,-59,-59,-62,-59,-71
1454082619027,-63,-54,-61,-53,-64,-68,-53,-68,-66,-67,-54,-68,-60,-53,-68,-64,-63,-63,-65,-64,-63,-66,-66,-59,-66,-66,-66,-74
1454082622347,-63,-54,-63,-56,-63,-69,-56,-68,-69,-67,-56,-69,-63,-56,-68,-65,-65,-65,-65,-63,-65,-66,-63,-62,-66,-66,-66,-72
1454082625667,-61,-58,-61,-56,-61,-65,-57,-65,-69,-65,-56,-65,-60,-58,-65,-66,-66,-65,-66,-61,-66,-64,-64,-64,-64,-66,-66,-72
