,20:3a:07:aa:41:30,20:3a:07:aa:41:35,20:3a:07:aa:41:3b,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:32,20:3a:07:aa:41:3c
1454082829413,-57,-59,-73,-57,-65,-57,-73
1454082832832,-58,-59,-73,-60,-58,-57,-73
1454082836231,-62,-62,-71,-60,-63,-62,-70
1454082839622,-58,-59,-69,-62,-62,-57,-72
1454082843031,-55,-56,-73,-62,-55,-55,-72
1454082846474,-57,-58,-72,-62,-57,-57,-69
