,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:42
1454082144652,-95,-66,-69,-67,-69,-66,-69,-69,-73
1454082147989,-69,-66,-69,-67,-69,-66,-70,-67,-69
1454082151318,-68,-64,-69,-95,-69,-65,-68,-64,-69
