,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ae
1454082645758,-62,-54,-62,-55,-63,-72,-55,-70,-74,-70,-55,-71,-62,-55,-71,-63,-68,-68,-64,-62,-68,-56,-59,-54,-57,-64,-57,-74,-72,-70,-71,-71,-71
1454082649075,-62,-59,-63,-57,-67,-69,-58,-71,-69,-72,-55,-71,-64,-58,-71,-66,-63,-65,-62,-65,-64,-54,-54,-54,-57,-64,-53,-74,-72,-59,-59,-59,-58
1454082652413,-63,-59,-63,-57,-67,-70,-58,-70,-70,-73,-57,-70,-62,-57,-72,-66,-67,-64,-66,-63,-67,-55,-53,-55,-55,-67,-55,-63,-64,-66,-64,-65,-58
1454082655735,-61,-57,-63,-57,-67,-69,-58,-69,-69,-70,-56,-69,-60,-60,-69,-66,-68,-68,-67,-59,-69,-59,-55,-58,-59,-68,-56,-76,-78,-75,-76,-75,-58
1454082659093,-58,-57,-58,-61,-58,-69,-61,-66,-66,-67,-61,-67,-58,-60,-66,-95,-64,-63,-63,-59,-64,-57,-55,-57,-57,-64,-57,-73,-73,-75,-73,-73,-73
1454082662445,-62,-64,-63,-60,-58,-70,-61,-70,-70,-70,-60,-70,-62,-58,-69,-95,-64,-64,-67,-62,-65,-56,-58,-57,-60,-64,-57,-67,-67,-66,-64,-64,-73
1454082665764,-61,-57,-61,-60,-58,-67,-58,-69,-68,-66,-60,-69,-61,-60,-66,-95,-68,-71,-70,-62,-68,-54,-58,-56,-53,-69,-57,-72,-68,-68,-68,-68,-73
