,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082565726,-61,-54,-67,-57,-66,-73,-57,-73,-74,-74,-57,-73,-67,-57,-73,-61,-61,-60,-61,-67,-61,-55,-56,-57,-55,-65,-56
1454082569054,-68,-54,-68,-57,-66,-72,-57,-72,-72,-72,-54,-71,-68,-53,-73,-61,-66,-62,-63,-68,-65,-64,-61,-64,-64,-63,-63
1454082572396,-66,-55,-66,-54,-66,-69,-57,-71,-70,-70,-54,-70,-67,-54,-69,-61,-63,-65,-65,-68,-63,-59,-61,-58,-61,-64,-62
1454082575747,-66,-56,-61,-58,-95,-74,-95,-70,-71,-72,-56,-71,-61,-56,-73,-95,-67,-67,-67,-61,-67,-55,-61,-55,-55,-67,-54
1454082579084,-61,-59,-62,-58,-95,-69,-95,-72,-72,-70,-61,-72,-62,-58,-70,-95,-65,-68,-66,-62,-65,-63,-63,-63,-61,-65,-59
1454082582427,-59,-59,-59,-58,-95,-68,-95,-68,-68,-68,-59,-68,-59,-60,-68,-95,-65,-64,-64,-59,-64,-60,-61,-60,-60,-65,-59
