,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082418991,-59,-59,-69,-58,-59,-65,-68,-68,-67,-68,-63,-69,-70,-63,-70,-69,-68,-68
1454082422317,-62,-62,-69,-62,-62,-61,-68,-69,-76,-68,-74,-69,-64,-65,-70,-65,-69,-65
1454082425637,-62,-72,-81,-72,-72,-71,-76,-76,-77,-76,-82,-77,-64,-58,-59,-65,-69,-58
1454082428963,-62,-64,-78,-64,-72,-64,-69,-70,-69,-69,-77,-70,-63,-66,-64,-63,-70,-58
1454082432283,-65,-64,-78,-64,-65,-65,-69,-70,-70,-70,-78,-72,-68,-67,-67,-68,-70,-58
1454082435587,-65,-66,-76,-64,-66,-65,-78,-79,-79,-79,-78,-79,-69,-67,-69,-69,-76,-68
