,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a5
1454082695801,-53,-61,-53,-58,-54,-63,-60,-63,-60,-60,-58,-63,-59,-61,-67,-67,-71,-71,-69,-57,-71,-71,-69,-72
1454082699120,-53,-61,-53,-60,-53,-60,-60,-61,-60,-60,-61,-61,-53,-60,-61,-67,-68,-67,-68,-53,-67,-68,-68,-68
1454082702455,-53,-62,-53,-60,-53,-57,-63,-57,-59,-57,-61,-57,-54,-64,-57,-74,-69,-70,-73,-54,-69,-71,-70,-68
