,20:3a:07:aa:41:35,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:32,e0:d1:73:95:71:45,e0:d1:73:95:71:40,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:95:71:44,e0:d1:73:95:71:42
1454082785683,-69,-69,-74,-74,-65,-65,-55,-68,-64,-64
1454082789051,-70,-70,-68,-69,-64,-67,-95,-95,-68,-67
1454082792377,-70,-66,-67,-66,-64,-68,-68,-80,-68,-68
