,20:3a:07:aa:41:30,20:3a:07:aa:41:35,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:32,20:3a:07:aa:41:3c,20:3a:07:aa:41:3a,e0:d1:73:de:ac:10,e0:d1:73:de:ac:11,e0:d1:73:de:ac:15,e0:d1:73:95:71:45,e0:d1:73:95:71:40,e0:d1:73:95:71:41,e0:d1:73:95:71:44,e0:d1:73:95:71:42
1454082805897,-64,-69,-66,-65,-65,-69,-68,-78,-73,-73,-72,-69,-70,-69,-69
1454082809277,-76,-76,-66,-76,-75,-90,-90,-68,-68,-68,-80,-69,-70,-82,-80
1454082812599,-64,-63,-64,-76,-64,-80,-79,-70,-68,-71,-67,-67,-68,-67,-67
1454082815976,-63,-64,-64,-62,-62,-77,-75,-74,-68,-78,-61,-60,-63,-67,-67
