,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:95:71:42
1454081951177,-64,-66,-63,-64,-64,-68,-63,-67,-68,-61,-63,-61,-68,-63
1454081954528,-62,-65,-61,-65,-62,-76,-65,-76,-75,-65,-63,-61,-76,-95
1454081957867,-74,-72,-73,-74,-75,-76,-74,-77,-75,-74,-63,-95,-76,-95
1454081961203,-70,-72,-70,-72,-70,-78,-72,-79,-77,-72,-95,-95,-78,-95
1454081964555,-70,-72,-71,-72,-70,-81,-74,-77,-78,-71,-95,-95,-79,-95
