,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082519166,-65,-62,-63,-62,-62,-75,-74,-74,-75,-75,-79,-79,-77,-75,-78
1454082522475,-64,-65,-64,-62,-65,-72,-75,-74,-72,-76,-77,-78,-77,-76,-78
1454082525807,-62,-64,-64,-63,-61,-72,-69,-70,-70,-69,-80,-79,-81,-69,-79
1454082529154,-55,-54,-64,-57,-61,-72,-61,-61,-61,-60,-73,-72,-74,-61,-74
1454082532496,-53,-52,-95,-52,-54,-95,-65,-64,-64,-65,-71,-71,-70,-64,-70
1454082535832,-57,-61,-95,-60,-61,-95,-67,-66,-67,-67,-71,-70,-71,-67,-71
1454082539165,-57,-61,-61,-59,-61,-67,-64,-69,-64,-64,-69,-69,-69,-66,-68
