,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72
1454082339020,-95,-78
1454082342374,-95,-72
1454082345749,-95,-75
1454082349081,-74,-74
1454082352445,-71,-74
1454082355767,-68,-68
