,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7b
1454081947847,-66,-63,-65,-63,-66,-68,-95,-71,-72,-61,-65,-61,-73,-69,-69,-67,-63,-69,-69
1454081951177,-64,-66,-63,-64,-64,-68,-63,-67,-68,-61,-63,-61,-68,-73,-76,-73,-63,-73,-72
1454081954528,-62,-65,-61,-65,-62,-76,-65,-76,-75,-65,-63,-61,-76,-79,-77,-80,-95,-79,-78
