,20:3a:07:aa:41:30,20:3a:07:aa:41:35,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:32
1454082870317,-64,-63,-64,-63,-64
1454082873720,-61,-63,-61,-64,-61
1454082877118,-62,-61,-62,-64,-61
