,20:3a:07:aa:41:30,20:3a:07:aa:41:31,20:3a:07:aa:41:32,e0:d1:73:95:71:40,e0:d1:73:95:71:41,e0:d1:73:95:71:42,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ae
1454082890603,-68,-68,-68,-75,-75,-74,-62,-63,-65,-69,-59,-77,-79,-63,-63,-62,-62
1454082893928,-70,-70,-71,-75,-75,-72,-62,-56,-65,-56,-56,-63,-63,-62,-62,-62,-63
1454082897249,-80,-81,-79,-68,-68,-68,-56,-57,-56,-56,-57,-63,-63,-64,-65,-64,-65
