,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ae
1454082555784,-69,-58,-69,-57,-67,-74,-59,-58,-65,-58,-73,-67,-65,-65,-67,-65,-65,-62,-61,-61,-63,-65,-67,-74,-74,-86
1454082559101,-68,-53,-68,-54,-68,-74,-59,-56,-68,-58,-72,-63,-63,-63,-63,-68,-63,-58,-61,-61,-62,-63,-95,-76,-76,-76
1454082562415,-61,-54,-61,-54,-61,-73,-54,-55,-68,-55,-72,-63,-63,-63,-61,-63,-63,-55,-55,-61,-55,-65,-55,-69,-69,-68
1454082565726,-61,-54,-67,-57,-66,-73,-57,-57,-67,-57,-73,-61,-61,-60,-61,-67,-61,-55,-56,-57,-55,-65,-56,-76,-76,-76
1454082569054,-68,-54,-68,-57,-66,-72,-57,-54,-68,-53,-73,-61,-66,-62,-63,-68,-65,-64,-61,-64,-64,-63,-63,-74,-74,-76
1454082572396,-66,-55,-66,-54,-66,-69,-57,-54,-67,-54,-69,-61,-63,-65,-65,-68,-63,-59,-61,-58,-61,-64,-62,-72,-72,-76
