,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a0,e0:d1:73:bd:c9:a5
1454082452318,-65,-66,-65,-66,-95,-68,-64,-67,-65
1454082455645,-69,-68,-68,-68,-70,-62,-60,-61,-61
1454082458973,-69,-69,-69,-69,-68,-62,-67,-64,-64
