,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:42
1454082114604,-95,-95,-64,-68,-65,-65,-68,-64,-68
1454082117951,-95,-95,-65,-68,-65,-66,-68,-64,-68
1454082121316,-95,-74,-63,-74,-62,-63,-73,-62,-73
1454082124648,-62,-74,-62,-76,-60,-61,-73,-60,-77
1454082127978,-62,-74,-62,-76,-62,-62,-75,-61,-74
1454082131322,-62,-69,-64,-72,-64,-65,-69,-64,-69
1454082134658,-95,-69,-68,-72,-68,-68,-71,-68,-71
