,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082462296,-82,-69,-80,-65,-79,-67,-64,-80,-68,-71,-74,-73,-71,-80,-74,-62,-58,-56,-64,-76,-62
1454082465615,-95,-58,-65,-58,-69,-57,-64,-65,-58,-67,-64,-66,-66,-80,-64,-64,-64,-65,-64,-64,-62
1454082468959,-67,-62,-67,-58,-69,-57,-62,-67,-62,-67,-67,-67,-67,-68,-67,-63,-63,-63,-63,-67,-63
