,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082047951,-65,-43,-67,-56,-67,-42,-51,-68,-42,-53,-52,-53,-53,-68,-52,-67,-70,-68,-68,-95,-63
1454082051292,-69,-44,-69,-41,-69,-42,-95,-70,-42,-48,-50,-48,-48,-70,-49,-67,-67,-67,-67,-95,-95
1454082054635,-64,-38,-65,-38,-67,-38,-95,-66,-38,-48,-49,-48,-47,-67,-48,-72,-71,-71,-73,-95,-95
1454082057968,-71,-46,-71,-48,-71,-48,-95,-70,-47,-57,-53,-53,-53,-71,-53,-72,-72,-73,-73,-95,-95
1454082061280,-73,-59,-71,-48,-71,-52,-95,-74,-53,-57,-58,-61,-60,-73,-58,-74,-74,-73,-73,-58,-95
1454082064596,-70,-52,-70,-50,-70,-52,-50,-69,-53,-55,-55,-57,-55,-73,-55,-72,-74,-73,-71,-60,-71
