,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082375757,-59,-58,-69,-57,-57,-69,-56,-66,-66,-67,-67,-69,-66,-69,-73,-67,-70
1454082379113,-56,-56,-70,-57,-56,-69,-56,-69,-70,-66,-70,-69,-71,-70,-69,-66,-69
1454082382435,-59,-59,-76,-59,-59,-77,-56,-66,-67,-66,-67,-69,-67,-73,-74,-64,-74
