,20:3a:07:aa:41:30,20:3a:07:aa:41:35,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,20:3a:07:aa:41:3c,20:3a:07:aa:41:3d,20:3a:07:aa:41:3a,e0:d1:73:95:71:45,e0:d1:73:95:71:40,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:95:71:44,e0:d1:73:95:71:42
1454082785683,-74,-69,-69,-74,-79,-74,-93,-80,-80,-65,-65,-55,-68,-64,-64
1454082789051,-70,-70,-70,-68,-85,-69,-87,-83,-85,-64,-67,-95,-95,-68,-67
1454082792377,-70,-70,-66,-67,-78,-66,-87,-78,-85,-64,-68,-68,-80,-68,-68
1454082795788,-68,-70,-67,-67,-69,-66,-69,-69,-69,-69,-70,-68,-80,-72,-73
