,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75
1454082121316,-95,-63,-62,-63,-62
1454082124648,-62,-62,-60,-61,-60
1454082127978,-62,-62,-62,-62,-61
