,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:42
1454082157961,-67,-67,-64,-64,-66,-65,-68,-68,-64,-67
1454082161300,-67,-67,-64,-63,-69,-64,-63,-67,-64,-68
1454082164638,-67,-95,-95,-66,-67,-66,-67,-67,-67,-67
