,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7b
1454082238284,-61,-65,-64,-62,-62,-70,-67,-67,-70,-68,-69
1454082241628,-61,-63,-63,-64,-63,-73,-75,-74,-72,-73,-72
1454082244966,-61,-66,-67,-66,-68,-75,-73,-73,-74,-73,-73
1454082248284,-95,-67,-66,-68,-66,-72,-70,-70,-71,-70,-75
1454082251606,-60,-60,-59,-68,-59,-68,-70,-69,-68,-70,-75
1454082254932,-59,-60,-59,-60,-60,-68,-70,-70,-73,-70,-70
1454082258252,-62,-64,-59,-63,-60,-68,-67,-67,-67,-67,-69
