,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7b
1454082519166,-65,-62,-63,-62,-62,-74,-74,-75,-75,-75
1454082522475,-64,-65,-64,-62,-65,-75,-74,-72,-76,-76
1454082525807,-62,-64,-64,-63,-61,-69,-70,-70,-69,-69
1454082529154,-55,-54,-64,-57,-61,-61,-61,-61,-60,-61
1454082532496,-53,-52,-95,-52,-54,-65,-64,-64,-65,-64
1454082535832,-57,-61,-95,-60,-61,-67,-66,-67,-67,-67
