,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75
1454082104586,-65,-65,-64,-66,-63
1454082107931,-65,-70,-70,-70,-68
1454082111271,-95,-65,-66,-65,-66
