,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ae
1454082592383,-61,-59,-61,-49,-64,-70,-49,-70,-71,-71,-49,-70,-60,-49,-68,-62,-61,-61,-62,-64,-61,-54,-62,-55,-59,-65,-54,-68,-75,-69,-70,-70
1454082595717,-61,-55,-61,-52,-61,-69,-52,-72,-70,-71,-49,-72,-61,-53,-70,-66,-63,-65,-64,-61,-63,-59,-59,-59,-59,-63,-54,-71,-69,-69,-69,-75
1454082599052,-54,-56,-55,-52,-56,-65,-57,-69,-67,-69,-49,-69,-61,-57,-67,-68,-67,-67,-67,-56,-67,-58,-57,-58,-57,-66,-95,-71,-66,-66,-66,-66
