,20:3a:07:aa:41:30,20:3a:07:aa:41:35,20:3a:07:aa:41:3b,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:3e,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,20:3a:07:aa:41:3c,20:3a:07:aa:41:3d,20:3a:07:aa:41:3a,e0:d1:73:95:71:45,e0:d1:73:95:71:40,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:95:71:44,e0:d1:73:95:71:42
1454082782353,-69,-69,-95,-69,-72,-90,-89,-69,-93,-95,-95,-65,-63,-55,-68,-62,-61
1454082785683,-74,-69,-79,-69,-74,-78,-79,-74,-93,-80,-80,-65,-65,-55,-68,-64,-64
1454082789051,-70,-70,-86,-70,-68,-78,-85,-69,-87,-83,-85,-64,-67,-95,-95,-68,-67
1454082792377,-70,-70,-79,-66,-67,-77,-78,-66,-87,-78,-85,-64,-68,-68,-80,-68,-68
1454082795788,-68,-70,-70,-67,-67,-77,-69,-66,-69,-69,-69,-69,-70,-68,-80,-72,-73
1454082799160,-54,-53,-64,-55,-67,-68,-67,-54,-69,-67,-68,-74,-72,-74,-84,-72,-73
