,20:3a:07:aa:41:30,20:3a:07:aa:41:35,20:3a:07:aa:41:3b,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:3e,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,20:3a:07:aa:41:3c,20:3a:07:aa:41:3d,20:3a:07:aa:41:3a,e0:d1:73:de:ac:10,e0:d1:73:de:ac:11,e0:d1:73:de:ac:15,e0:d1:73:95:71:45,e0:d1:73:95:71:40,e0:d1:73:95:71:41,e0:d1:73:95:71:44,e0:d1:73:95:71:42
1454082802531,-54,-54,-61,-55,-54,-68,-60,-54,-69,-60,-68,-78,-77,-80,-72,-73,-74,-73,-74
1454082805897,-64,-69,-87,-66,-65,-78,-78,-65,-69,-77,-68,-78,-73,-73,-72,-69,-70,-69,-69
1454082809277,-76,-76,-87,-66,-76,-91,-78,-75,-90,-90,-90,-68,-68,-68,-80,-69,-70,-82,-80
1454082812599,-64,-63,-76,-64,-76,-91,-78,-64,-80,-77,-79,-70,-68,-71,-67,-67,-68,-67,-67
1454082815976,-63,-64,-76,-64,-62,-77,-77,-62,-77,-77,-75,-74,-68,-78,-61,-60,-63,-67,-67
1454082819340,-56,-54,-69,-64,-57,-67,-68,-56,-77,-67,-75,-82,-78,-79,-61,-60,-68,-72,-71
