,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082448978,-73,-82,-72,-81,-72,-73,-83,-71,-79,-79,-80,-79,-79,-63,-64,-70,-63,-79,-63
1454082452318,-65,-78,-66,-77,-65,-66,-95,-95,-75,-74,-78,-75,-74,-68,-64,-70,-67,-76,-65
1454082455645,-69,-78,-68,-83,-68,-68,-95,-70,-79,-76,-78,-76,-77,-62,-60,-95,-61,-79,-61
1454082458973,-69,-78,-69,-86,-69,-69,-95,-68,-75,-77,-77,-76,-77,-62,-67,-95,-64,-76,-64
1454082462296,-69,-80,-65,-79,-67,-64,-80,-68,-71,-74,-73,-71,-74,-62,-58,-56,-64,-76,-62
1454082465615,-58,-65,-58,-69,-57,-64,-65,-58,-67,-64,-66,-66,-64,-64,-64,-65,-64,-64,-62
