,e0:d1:73:a1:20:e1,e0:d1:73:a1:20:e0,e0:d1:73:a1:20:e4,e0:d1:73:a1:20:e2,e0:d1:73:d8:74:91,e0:d1:73:d8:74:92,e0:d1:73:d8:74:95
1454081873312,-75,-75,-79,-81,-81,-81,-95
1454081876724,-68,-67,-68,-69,-86,-81,-86
1454081880122,-68,-74,-72,-70,-81,-83,-80
1454081883568,-69,-70,-70,-70,-83,-83,-80
1454081886968,-78,-70,-75,-75,-83,-78,-77
1454081890372,-78,-86,-85,-82,-66,-64,-68
