,e0:d1:73:a1:20:e1,e0:d1:73:a1:20:e0,e0:d1:73:a1:20:e4,e0:d1:73:a1:20:e2
1454081876724,-68,-67,-68,-69
1454081880122,-68,-74,-72,-70
1454081883568,-69,-70,-70,-70
