,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082369062,-56,-57,-95,-64,-56,-74,-56,-65,-66,-63,-66,-74,-66,-73,-72,-72,-73,-64,-72
1454082372391,-59,-60,-70,-61,-59,-74,-61,-66,-66,-66,-67,-70,-66,-74,-75,-72,-73,-67,-75
1454082375757,-59,-58,-69,-57,-57,-69,-56,-66,-66,-67,-67,-69,-66,-74,-71,-69,-73,-67,-70
1454082379113,-56,-56,-70,-57,-56,-69,-56,-69,-70,-66,-70,-69,-71,-74,-70,-70,-69,-66,-69
1454082382435,-59,-59,-76,-59,-59,-77,-56,-66,-67,-66,-67,-69,-67,-74,-70,-73,-74,-64,-74
1454082385759,-55,-56,-70,-56,-56,-77,-56,-66,-68,-68,-65,-71,-67,-69,-71,-73,-69,-68,-70
1454082389089,-55,-54,-69,-54,-55,-69,-53,-68,-68,-68,-68,-69,-68,-69,-68,-68,-69,-68,-67
