,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ae
1454082572396,-66,-55,-66,-54,-66,-69,-57,-71,-70,-70,-54,-70,-67,-54,-69,-61,-63,-65,-65,-68,-63,-59,-61,-58,-61,-64,-62,-74,-72,-72,-72,-76
1454082575747,-66,-56,-61,-58,-95,-74,-95,-70,-71,-72,-56,-71,-61,-56,-73,-95,-67,-67,-67,-61,-67,-55,-61,-55,-55,-67,-54,-72,-72,-72,-72,-95
1454082579084,-61,-59,-62,-58,-95,-69,-95,-72,-72,-70,-61,-72,-62,-58,-70,-95,-65,-68,-66,-62,-65,-63,-63,-63,-61,-65,-59,-72,-72,-72,-72,-95
1454082582427,-59,-59,-59,-58,-95,-68,-95,-68,-68,-68,-59,-68,-59,-60,-68,-95,-65,-64,-64,-59,-64,-60,-61,-60,-60,-65,-59,-73,-72,-72,-72,-95
1454082585757,-61,-57,-61,-57,-95,-69,-95,-65,-65,-67,-57,-65,-62,-57,-67,-95,-66,-66,-68,-61,-66,-60,-60,-60,-60,-64,-62,-71,-72,-70,-70,-95
1454082589067,-62,-59,-61,-61,-61,-69,-60,-68,-69,-70,-61,-69,-60,-57,-68,-66,-68,-66,-68,-61,-68,-54,-60,-55,-54,-67,-54,-68,-69,-67,-67,-69
1454082592383,-61,-59,-61,-49,-64,-70,-49,-70,-71,-71,-49,-70,-60,-49,-68,-62,-61,-61,-62,-64,-61,-54,-62,-55,-59,-65,-54,-68,-74,-69,-70,-70
