,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082385759,-55,-77,-56,-70,-56,-56,-77,-56,-66,-68,-68,-65,-71,-67,-69,-71,-73,-69,-68,-70
1454082389089,-55,-77,-54,-69,-54,-55,-69,-53,-68,-68,-68,-68,-69,-68,-69,-68,-68,-69,-68,-67
1454082392399,-55,-67,-55,-66,-55,-55,-67,-55,-68,-66,-66,-67,-66,-66,-66,-66,-66,-69,-66,-67
