,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7b
1454081944513,-64,-60,-64,-63,-73,-68,-68,-69,-69,-69,-61,-69,-64,-62,-69,-95,-68,-67,-67,-63,-68,-67
1454081947847,-66,-63,-65,-63,-66,-68,-95,-72,-71,-72,-61,-71,-65,-61,-73,-69,-70,-69,-67,-63,-69,-69
1454081951177,-64,-66,-63,-64,-64,-68,-63,-71,-67,-68,-61,-72,-63,-61,-68,-73,-73,-76,-73,-63,-73,-72
1454081954528,-62,-65,-61,-65,-62,-76,-65,-75,-76,-75,-65,-75,-63,-61,-76,-79,-79,-77,-80,-95,-79,-78
1454081957867,-74,-72,-73,-74,-75,-76,-74,-75,-77,-75,-74,-76,-63,-95,-76,-81,-81,-80,-81,-95,-81,-80
1454081961203,-70,-72,-70,-72,-70,-78,-72,-79,-79,-77,-72,-78,-95,-95,-78,-82,-82,-83,-81,-95,-82,-84
1454081964555,-70,-72,-71,-72,-70,-81,-74,-82,-77,-78,-71,-82,-95,-95,-79,-81,-81,-82,-81,-95,-81,-81
1454081967882,-70,-72,-70,-71,-67,-80,-69,-80,-79,-81,-72,-80,-95,-95,-79,-82,-83,-84,-81,-95,-82,-82
