,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082572396,-66,-55,-66,-54,-66,-69,-57,-54,-67,-54,-69,-61,-63,-65,-65,-68,-63,-59,-61,-58,-61,-64,-62
1454082575747,-66,-56,-61,-58,-95,-74,-95,-56,-61,-56,-73,-95,-67,-67,-67,-61,-67,-55,-61,-55,-55,-67,-54
1454082579084,-61,-59,-62,-58,-95,-69,-95,-61,-62,-58,-70,-95,-65,-68,-66,-62,-65,-63,-63,-63,-61,-65,-59
