,20:3a:07:aa:41:30,20:3a:07:aa:41:35,20:3a:07:aa:41:3b,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:3e,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,20:3a:07:aa:41:3d,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a5
1454082863532,-63,-63,-83,-64,-69,-76,-76,-63,-76,-82,-78,-77
1454082866927,-61,-62,-83,-61,-63,-79,-77,-61,-77,-78,-78,-78
1454082870317,-64,-63,-71,-64,-63,-71,-71,-64,-71,-78,-73,-73
1454082873720,-61,-63,-73,-61,-64,-75,-74,-61,-74,-76,-76,-73
1454082877118,-62,-61,-76,-62,-64,-75,-77,-61,-77,-76,-74,-74
1454082880512,-62,-55,-68,-62,-57,-68,-68,-57,-68,-67,-67,-69
