,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ae
1454082930575,-73,-68,-71,-61,-69,-61,-61,-69,-60,-63,-66,-66,-63,-68,-66,-41,-38,-38,-36,-69,-36,-48,-49,-49,-46,-46,-47
1454082933912,-68,-60,-68,-61,-69,-61,-61,-68,-61,-70,-70,-70,-70,-68,-70,-42,-42,-43,-41,-70,-36,-55,-49,-52,-51,-51,-50
