,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:4b,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082579084,-61,-59,-62,-58,-69,-72,-72,-70,-61,-72,-62,-58,-70,-65,-68,-66,-62,-65,-63,-63,-63,-61,-65,-59
1454082582427,-59,-59,-59,-58,-68,-68,-68,-68,-59,-68,-59,-60,-68,-65,-64,-64,-59,-64,-60,-61,-60,-60,-65,-59
1454082585757,-61,-57,-61,-57,-69,-65,-65,-67,-57,-65,-62,-57,-67,-66,-66,-68,-61,-66,-60,-60,-60,-60,-64,-62
