,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082475640,-70,-55,-95,-54,-70,-56,-63,-64,-62,-70,-63,-67,-65,-66,-67,-63,-67
1454082478975,-68,-52,-95,-52,-67,-52,-66,-66,-65,-67,-67,-63,-66,-64,-63,-66,-63
1454082482317,-70,-63,-61,-62,-70,-52,-67,-68,-67,-71,-67,-72,-66,-73,-72,-67,-71
