,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ae
1454082552465,-69,-60,-69,-57,-67,-59,-58,-71,-58,-67,-67,-69,-67,-68,-67,-65,-69,-66,-66,-68,-67,-76,-77,-86
1454082555784,-69,-58,-69,-57,-67,-59,-58,-65,-58,-67,-65,-65,-67,-65,-65,-62,-61,-61,-63,-65,-67,-74,-74,-86
1454082559101,-68,-53,-68,-54,-68,-59,-56,-68,-58,-63,-63,-63,-63,-68,-63,-58,-61,-61,-62,-63,-95,-76,-76,-76
1454082562415,-61,-54,-61,-54,-61,-54,-55,-68,-55,-63,-63,-63,-61,-63,-63,-55,-55,-61,-55,-65,-55,-69,-69,-68
