,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7b
1454082188038,-95,-58,-57,-59,-58,-65,-69,-69,-68,-69,-67
1454082191376,-95,-58,-58,-58,-59,-67,-68,-67,-67,-68,-69
1454082194743,-61,-59,-59,-61,-59,-66,-66,-71,-66,-67,-69
1454082198069,-60,-60,-59,-60,-61,-66,-68,-68,-67,-68,-68
