,20:3a:07:aa:41:30,20:3a:07:aa:41:35,20:3a:07:aa:41:3b,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:32
1454082832832,-58,-59,-73,-60,-58,-57
1454082836231,-62,-62,-71,-60,-63,-62
1454082839622,-58,-59,-69,-62,-62,-57
1454082843031,-55,-56,-73,-62,-55,-55
