,20:3a:07:aa:41:30,20:3a:07:aa:41:34,20:3a:07:aa:41:31,20:3a:07:aa:41:3e,20:3a:07:aa:41:32,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:42,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ae
1454082887241,-69,-69,-57,-68,-69,-81,-86,-77,-86,-84,-83,-85,-88,-85,-87,-78,-95,-86,-68,-67,-68,-69,-72,-77,-79,-78,-75,-75,-75
1454082890603,-68,-71,-68,-83,-68,-81,-78,-75,-77,-75,-82,-78,-84,-85,-78,-74,-78,-74,-62,-63,-65,-69,-59,-77,-79,-63,-63,-62,-62
1454082893928,-70,-71,-70,-83,-71,-72,-78,-75,-78,-75,-77,-79,-79,-80,-79,-74,-79,-72,-62,-56,-65,-56,-56,-63,-63,-62,-62,-62,-63
1454082897249,-80,-71,-81,-89,-79,-72,-72,-68,-72,-68,-79,-72,-79,-81,-79,-74,-73,-68,-56,-57,-56,-56,-57,-63,-63,-64,-65,-64,-65
1454082900631,-85,-95,-81,-89,-85,-68,-68,-68,-72,-68,-77,-70,-77,-77,-79,-68,-68,-67,-49,-49,-49,-49,-57,-57,-58,-61,-60,-59,-65
1454082903958,-86,-95,-84,-89,-85,-68,-68,-68,-66,-60,-67,-66,-69,-69,-67,-65,-67,-62,-49,-52,-49,-52,-50,-57,-69,-70,-67,-67,-66
