,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5
1454082409041,-70,-60,-74,-57,-70,-57,-58,-72,-58,-66,-67,-67,-66,-70,-67,-65,-69,-64,-73,-67,-72
1454082412338,-70,-95,-65,-55,-67,-55,-63,-66,-56,-70,-66,-65,-68,-66,-66,-65,-63,-65,-73,-66,-62
1454082415673,-63,-60,-63,-58,-67,-55,-59,-63,-65,-70,-64,-65,-65,-63,-65,-62,-63,-62,-62,-65,-61
1454082418991,-70,-59,-71,-59,-69,-58,-59,-72,-65,-68,-68,-67,-68,-63,-69,-70,-63,-70,-69,-68,-68
1454082422317,-73,-62,-71,-62,-69,-62,-62,-72,-61,-68,-69,-76,-68,-74,-69,-64,-65,-70,-65,-69,-65
1454082425637,-73,-62,-71,-72,-81,-72,-72,-79,-71,-76,-76,-77,-76,-82,-77,-64,-58,-59,-65,-69,-58
