,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75
1454082352445,-71,-71,-71,-74,-71
1454082355767,-71,-71,-68,-68,-70
1454082359094,-67,-67,-67,-68,-67
