,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7b
1454082345749,-76,-73,-95,-75,-78,-80,-82,-83,-81,-83,-82
1454082349081,-76,-74,-74,-74,-74,-80,-81,-83,-79,-84,-82
1454082352445,-71,-71,-71,-74,-71,-85,-83,-81,-84,-84,-81
1454082355767,-71,-71,-68,-68,-70,-77,-74,-74,-76,-74,-77
1454082359094,-67,-67,-67,-68,-67,-77,-73,-77,-76,-74,-73
1454082362422,-62,-67,-64,-68,-64,-64,-64,-65,-65,-64,-64
1454082365751,-57,-67,-64,-58,-56,-64,-63,-63,-65,-63,-63
