,e0:d1:73:0f:2f:71,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:72,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7b
1454082171331,-95,-63,-69,-64,-63,-69,-63,-72,-71,-71,-71,-71,-75
1454082174691,-60,-60,-72,-61,-59,-70,-63,-70,-70,-74,-69,-70,-73
1454082178015,-61,-62,-71,-62,-62,-70,-63,-74,-74,-74,-74,-74,-75
1454082181351,-61,-62,-74,-63,-62,-70,-63,-75,-73,-73,-74,-73,-75
1454082184694,-61,-57,-75,-57,-58,-78,-56,-65,-67,-67,-65,-66,-67
1454082188038,-95,-58,-73,-57,-59,-74,-58,-65,-69,-69,-68,-69,-67
