,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:D8,78:A5:04:41:EB:94,78:A5:04:41:E9:A5
1526462492003,-88,-200,-200
1526462493151,-92,-200,-200
1526462494304,-91,-200,-200
1526462496528,-90,-86,-200
1526462500931,-96,-88,-200
1526462502006,-200,-87,-200
1526462504213,-91,-89,-200
1526462504304,-200,-88,-200
1526462505377,-92,-85,-200
1526462507509,-86,-85,-200
1526462508629,-200,-88,-200
1526462510854,-200,-86,-200
1526462511898,-200,-88,-200
1526462519786,-92,-86,-200
1526462521982,-200,-89,-200
1526462523025,-200,-87,-200
1526462524096,-200,-85,-200
1526462526305,-90,-87,-200
1526462527482,-91,-200,-200
1526462529686,-92,-200,-200
1526462530845,-92,-200,-200
1526462533074,-92,-87,-200
1526462539741,-94,-88,-200
1526462540900,-92,-89,-92
1526462548502,-200,-86,-94
