,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:C8
1526462966405,-86
1526462967550,-89
1526462969773,-88
1526462971976,-88
1526462977408,-84
1526462978567,-85
1526462979585,-88
1526462980751,-86
1526462981801,-85
1526462985164,-86
1526462986212,-89
1526462989655,-86
1526462990700,-88
1526463000647,-85
1526463001702,-90
1526463002848,-86
1526463003891,-86
1526463005051,-90
1526463007243,-85
1526463009426,-85
1526463017176,-88
1526463021525,-87
1526463024807,-87
