,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4a:ed,74:da:da:98:74:94,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:b8,74:da:da:98:7a:50,74:da:da:98:8d:78,74:da:da:c1:3c:f9,74:da:da:98:7a:4c,bc:d1:77:5f:6a:b4,0c:73:eb:d0:11:b0,0c:73:eb:d0:7c:18,74:da:da:c1:3c:dd,74:da:da:c1:4b:05,0c:73:eb:d0:11:f0,74:da:da:c1:3c:f5,74:da:da:98:7a:60,74:da:da:c1:3c:99,0c:73:eb:d0:13:c0,74:da:da:c1:3b:9d,74:da:da:98:7a:6c,0c:73:eb:d0:11:e8,74:da:da:c0:e0:81,74:da:da:c1:4b:59,74:da:da:c1:3a:81
1526456926178,-29,-41,-45,-53,-57,-64,-66,-66,-67,-70,-70,-75,-75,-76,-80,-81,-83,-83,-84,-85,-87,-89,-200,-200,-200,-200,-200
1526456929201,-37,-36,-53,-55,-61,-71,-60,-75,-64,-68,-72,-77,-75,-76,-200,-200,-83,-83,-200,-200,-90,-200,-87,-200,-200,-200,-200
1526456932230,-37,-36,-53,-55,-61,-71,-60,-75,-64,-68,-72,-77,-75,-76,-200,-200,-83,-83,-200,-200,-90,-200,-87,-200,-200,-200,-200
1526456935250,-37,-36,-53,-55,-61,-71,-60,-75,-64,-68,-72,-77,-75,-76,-200,-200,-83,-83,-200,-200,-90,-200,-87,-200,-200,-200,-200
1526456938279,-39,-34,-53,-55,-62,-66,-58,-78,-63,-69,-73,-78,-84,-85,-72,-80,-200,-200,-83,-200,-90,-200,-86,-200,-200,-200,-200
1526456941309,-39,-34,-50,-55,-62,-72,-60,-82,-63,-72,-71,-78,-84,-82,-72,-80,-200,-88,-83,-79,-90,-200,-86,-200,-200,-200,-200
1526456944341,-39,-34,-50,-55,-62,-72,-60,-82,-63,-72,-71,-78,-84,-82,-72,-80,-200,-88,-83,-79,-90,-200,-86,-200,-200,-200,-200
1526456947373,-39,-34,-50,-55,-62,-72,-60,-82,-63,-72,-71,-78,-84,-82,-72,-80,-200,-88,-83,-79,-90,-200,-86,-200,-200,-200,-200
1526456950408,-36,-37,-53,-50,-64,-66,-58,-72,-64,-73,-70,-78,-80,-85,-73,-81,-77,-88,-84,-79,-88,-200,-80,-86,-87,-200,-200
1526456953443,-44,-35,-49,-50,-65,-64,-59,-70,-64,-73,-72,-78,-85,-85,-73,-81,-77,-88,-84,-79,-88,-200,-81,-86,-86,-200,-200
1526456956475,-44,-35,-49,-50,-65,-64,-59,-70,-64,-73,-72,-78,-85,-85,-73,-81,-77,-88,-84,-79,-88,-200,-81,-86,-86,-200,-200
1526456959505,-44,-35,-49,-50,-65,-64,-59,-70,-64,-73,-72,-78,-85,-85,-73,-81,-77,-88,-84,-79,-88,-200,-81,-86,-86,-200,-200
1526456962543,-43,-35,-50,-53,-64,-64,-60,-73,-64,-200,-71,-78,-85,-200,-200,-80,-200,-200,-200,-200,-200,-200,-81,-200,-86,-200,-200
1526456965580,-43,-33,-50,-53,-63,-64,-60,-75,-62,-69,-72,-79,-84,-83,-200,-75,-200,-200,-86,-82,-88,-200,-81,-88,-86,-83,-89
1526456968607,-43,-33,-50,-53,-63,-64,-60,-75,-62,-69,-72,-79,-84,-83,-200,-75,-200,-200,-86,-82,-88,-200,-81,-88,-86,-83,-89
1526456971638,-43,-33,-50,-53,-63,-64,-60,-75,-62,-69,-72,-79,-84,-83,-200,-75,-200,-200,-86,-82,-88,-200,-81,-88,-86,-83,-89
1526456974678,-42,-35,-48,-54,-65,-74,-60,-75,-63,-69,-72,-79,-84,-83,-200,-75,-200,-200,-86,-77,-86,-88,-87,-88,-200,-85,-88
1526456977713,-45,-34,-50,-54,-64,-74,-57,-78,-63,-69,-70,-79,-86,-83,-71,-75,-85,-200,-86,-78,-86,-88,-87,-88,-200,-84,-88
1526456980746,-45,-34,-50,-54,-64,-74,-57,-78,-63,-69,-70,-79,-86,-83,-71,-75,-85,-200,-86,-78,-86,-88,-87,-88,-200,-84,-88
1526456983785,-45,-34,-50,-54,-64,-74,-57,-78,-63,-69,-70,-79,-86,-83,-71,-75,-85,-200,-86,-78,-86,-88,-87,-88,-200,-84,-88
1526456986807,-42,-34,-50,-52,-63,-65,-57,-77,-63,-69,-73,-80,-84,-82,-71,-77,-85,-88,-86,-81,-200,-200,-89,-200,-200,-86,-200
