,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:48,74:da:da:98:74:94,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,0c:73:eb:d0:11:b8,0c:73:eb:d0:7c:30,74:da:da:98:7a:50,74:da:da:c1:3c:f9,74:da:da:98:8d:78,74:da:da:c1:4b:05,74:da:da:98:7a:4c,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:b0,bc:d1:77:5f:6a:b4,74:da:da:c0:e0:81,74:da:da:98:7a:60,0c:73:eb:d0:13:c0,0c:73:eb:d0:7c:00,74:da:da:c0:e0:71,0c:73:eb:d0:11:f0,74:da:da:98:7a:6c,74:da:da:98:7a:68,74:da:da:c1:3c:dd,0c:73:eb:d0:11:e8,74:da:da:c1:3c:99,74:da:da:c1:3b:9d,74:da:da:c1:4b:59,74:da:da:c1:3c:f5
1526456844797,-47,-48,-53,-56,-63,-69,-73,-76,-76,-77,-77,-79,-81,-82,-85,-86,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456847833,-35,-48,-41,-50,-60,-62,-65,-68,-76,-59,-69,-67,-79,-82,-85,-84,-88,-90,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456850847,-35,-48,-41,-50,-60,-62,-65,-68,-76,-59,-69,-67,-79,-82,-85,-84,-88,-90,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456853860,-35,-48,-41,-50,-60,-62,-65,-68,-76,-59,-69,-67,-79,-82,-85,-84,-88,-90,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456856884,-34,-50,-41,-46,-68,-62,-62,-74,-67,-57,-69,-68,-75,-200,-82,-84,-200,-200,-86,-89,-88,-90,-90,-200,-200,-200,-200,-200,-200
1526456859916,-35,-54,-41,-46,-67,-62,-62,-78,-67,-58,-68,-70,-75,-200,-82,-84,-200,-200,-86,-89,-88,-90,-90,-68,-200,-200,-200,-200,-200
1526456862944,-35,-54,-41,-46,-67,-62,-62,-78,-67,-58,-68,-70,-75,-200,-82,-84,-200,-200,-86,-89,-88,-90,-90,-68,-200,-200,-200,-200,-200
1526456865964,-35,-54,-41,-46,-67,-62,-62,-78,-67,-58,-68,-70,-75,-200,-82,-84,-200,-200,-86,-89,-88,-90,-90,-68,-200,-200,-200,-200,-200
1526456868990,-31,-50,-42,-46,-64,-59,-63,-82,-66,-59,-68,-67,-78,-200,-82,-83,-200,-200,-200,-200,-200,-85,-200,-68,-86,-200,-200,-200,-200
1526456872017,-32,-49,-42,-46,-64,-57,-65,-82,-66,-59,-68,-68,-81,-200,-82,-85,-200,-200,-200,-200,-200,-85,-200,-68,-86,-84,-200,-200,-200
1526456875051,-32,-49,-42,-46,-64,-57,-65,-82,-66,-59,-68,-68,-81,-200,-82,-85,-200,-200,-200,-200,-200,-85,-200,-68,-86,-84,-200,-200,-200
1526456878087,-32,-49,-42,-46,-64,-57,-65,-82,-66,-59,-68,-68,-81,-200,-82,-85,-200,-200,-200,-200,-200,-85,-200,-68,-86,-84,-200,-200,-200
1526456881095,-36,-48,-41,-50,-57,-64,-64,-71,-73,-79,-75,-73,-84,-88,-79,-85,-82,-200,-200,-200,-82,-81,-200,-200,-88,-85,-90,-200,-200
1526456884124,-36,-46,-41,-50,-59,-66,-62,-71,-73,-79,-75,-70,-84,-88,-79,-85,-82,-200,-200,-200,-82,-80,-200,-200,-88,-85,-90,-88,-200
1526456887147,-36,-46,-41,-50,-59,-66,-62,-71,-73,-79,-75,-70,-84,-88,-79,-85,-82,-200,-200,-200,-82,-80,-200,-200,-88,-85,-90,-88,-200
1526456890180,-36,-46,-41,-50,-59,-66,-62,-71,-73,-79,-75,-70,-84,-88,-79,-85,-82,-200,-200,-200,-82,-80,-200,-200,-88,-85,-90,-88,-200
1526456893206,-37,-49,-41,-50,-59,-64,-64,-73,-70,-200,-80,-74,-200,-200,-78,-200,-87,-200,-200,-200,-81,-80,-200,-82,-200,-200,-200,-88,-85
1526456896239,-37,-49,-41,-50,-59,-67,-60,-73,-71,-83,-81,-74,-200,-200,-77,-200,-84,-87,-200,-200,-81,-80,-200,-80,-200,-85,-89,-88,-85
1526456899270,-37,-49,-41,-50,-59,-67,-60,-73,-71,-83,-81,-74,-200,-200,-77,-200,-84,-87,-200,-200,-81,-80,-200,-80,-200,-85,-89,-88,-85
1526456902319,-37,-49,-41,-50,-59,-67,-60,-73,-71,-83,-81,-74,-200,-200,-77,-200,-84,-87,-200,-200,-81,-80,-200,-80,-200,-85,-89,-88,-85
1526456905349,-34,-49,-41,-50,-60,-70,-67,-73,-71,-83,-81,-74,-200,-200,-77,-200,-84,-87,-200,-200,-85,-200,-200,-80,-200,-85,-89,-200,-200
