,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,74:da:da:98:74:94,74:da:da:98:8d:78,74:da:da:98:7a:4c,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:b8,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:18,74:da:da:c1:3c:99,74:da:da:98:7a:50,74:da:da:c1:4b:59,0c:73:eb:d0:11:f0,74:da:da:98:7a:6c,74:da:da:c0:e0:81,0c:73:eb:d0:13:c0,74:da:da:98:7a:60,74:da:da:c1:3b:4d,0c:73:eb:d0:11:b0,74:da:da:c1:3b:9d,0c:73:eb:d0:7c:10
1526457247009,-43,-45,-55,-56,-61,-63,-63,-69,-70,-71,-73,-75,-76,-77,-78,-79,-80,-81,-83,-84,-89,-89,-90,-200,-200,-200
1526457250034,-43,-49,-54,-58,-52,-68,-63,-73,-69,-62,-70,-79,-72,-77,-84,-69,-80,-81,-83,-200,-88,-200,-200,-200,-200,-200
1526457253063,-41,-45,-54,-58,-69,-67,-62,-73,-68,-60,-72,-79,-72,-77,-84,-69,-80,-80,-78,-87,-88,-200,-200,-82,-200,-200
1526457256070,-41,-45,-54,-58,-69,-67,-62,-73,-68,-60,-72,-79,-72,-77,-84,-69,-80,-80,-78,-87,-88,-200,-200,-82,-200,-200
1526457259095,-42,-45,-54,-61,-49,-66,-61,-73,-68,-59,-73,-78,-72,-75,-84,-70,-200,-80,-79,-87,-88,-200,-200,-82,-92,-200
1526457262123,-39,-45,-55,-61,-49,-66,-63,-74,-68,-57,-73,-78,-72,-75,-88,-70,-200,-85,-79,-87,-88,-200,-200,-82,-92,-200
1526457265154,-39,-45,-55,-61,-49,-66,-63,-74,-68,-57,-73,-78,-72,-75,-88,-70,-200,-85,-79,-87,-88,-200,-200,-82,-92,-200
1526457268184,-39,-45,-55,-61,-49,-66,-63,-74,-68,-57,-73,-78,-72,-75,-88,-70,-200,-85,-79,-87,-88,-200,-200,-82,-92,-200
1526457271209,-56,-58,-67,-74,-63,-76,-74,-80,-79,-72,-73,-78,-200,-81,-88,-70,-200,-85,-79,-200,-200,-200,-200,-200,-200,-200
1526457274239,-44,-50,-67,-62,-51,-65,-74,-80,-67,-60,-73,-78,-200,-81,-88,-70,-200,-85,-79,-200,-200,-200,-200,-200,-200,-200
1526457277271,-44,-50,-67,-62,-51,-65,-74,-80,-67,-60,-73,-78,-200,-81,-88,-70,-200,-85,-79,-200,-200,-200,-200,-200,-200,-200
1526457280302,-44,-50,-67,-62,-51,-65,-74,-80,-67,-60,-73,-78,-200,-81,-88,-70,-200,-85,-79,-200,-200,-200,-200,-200,-200,-200
1526457283340,-43,-51,-56,-64,-50,-64,-61,-73,-69,-60,-200,-80,-68,-75,-200,-69,-200,-200,-80,-200,-200,-200,-200,-81,-200,-200
1526457286365,-43,-47,-55,-64,-49,-62,-62,-73,-69,-60,-74,-80,-68,-75,-200,-69,-200,-200,-80,-200,-200,-200,-200,-81,-200,-200
1526457289389,-43,-47,-55,-64,-49,-62,-62,-73,-69,-60,-74,-80,-68,-75,-200,-69,-200,-200,-80,-200,-200,-200,-200,-81,-200,-200
1526457292415,-43,-47,-55,-64,-49,-62,-62,-73,-69,-60,-74,-80,-68,-75,-200,-69,-200,-200,-80,-200,-200,-200,-200,-81,-200,-200
1526457295447,-42,-43,-55,-65,-48,-68,-66,-73,-70,-63,-74,-76,-68,-78,-200,-72,-82,-200,-85,-200,-200,-200,-200,-82,-200,-85
1526457298486,-47,-43,-56,-58,-49,-68,-63,-73,-69,-59,-72,-76,-68,-77,-200,-68,-82,-200,-85,-200,-84,-200,-200,-82,-200,-85
1526457301512,-47,-43,-56,-58,-49,-68,-63,-73,-69,-59,-72,-76,-68,-77,-200,-68,-82,-200,-85,-200,-84,-200,-200,-82,-200,-85
1526457304549,-47,-43,-56,-58,-49,-68,-63,-73,-69,-59,-72,-76,-68,-77,-200,-68,-82,-200,-85,-200,-84,-200,-200,-82,-200,-85
1526457307575,-44,-45,-55,-59,-50,-63,-65,-200,-72,-68,-78,-78,-68,-79,-200,-72,-86,-200,-79,-200,-84,-200,-200,-200,-200,-200
