,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,74:da:da:c1:4a:ed,74:da:da:98:74:94,0c:73:eb:d0:7c:48,0c:73:eb:d0:11:b8,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,74:da:da:98:7a:4c,74:da:da:98:8d:78,0c:73:eb:d0:7c:30,74:da:da:c1:4b:05,74:da:da:98:7a:6c,74:da:da:c1:3c:f9,74:da:da:98:7a:50,0c:73:eb:d0:11:f0,74:da:da:c1:4b:59,bc:d1:77:5f:6a:b4,74:da:da:c1:3c:99,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:e8,74:da:da:c1:3c:dd,74:da:da:c0:e0:81,74:da:da:98:7a:60,74:da:da:c1:3b:9d,74:da:da:98:7a:68,74:da:da:c1:3c:f5,0c:73:eb:d0:13:c0,0c:73:eb:d0:11:b0
1526457007172,-39,-48,-55,-60,-60,-66,-69,-71,-74,-76,-79,-80,-81,-83,-85,-87,-87,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526457010204,-34,-43,-54,-63,-59,-68,-68,-65,-67,-77,-80,-82,-71,-81,-200,-85,-87,-88,-91,-73,-79,-82,-84,-90,-200,-200,-200
1526457013224,-34,-42,-53,-66,-61,-69,-67,-66,-65,-77,-80,-73,-70,-80,-88,-87,-78,-88,-91,-73,-79,-82,-84,-90,-200,-200,-200
1526457016241,-34,-42,-53,-66,-61,-69,-67,-66,-65,-77,-80,-73,-70,-80,-88,-87,-78,-88,-91,-73,-79,-82,-84,-90,-200,-200,-200
1526457019266,-34,-42,-53,-66,-61,-69,-67,-66,-65,-77,-80,-73,-70,-80,-88,-87,-78,-88,-91,-73,-79,-82,-84,-90,-200,-200,-200
1526457022304,-35,-42,-56,-64,-56,-70,-67,-66,-65,-78,-81,-72,-71,-80,-88,-87,-78,-84,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526457025328,-35,-42,-56,-64,-56,-70,-67,-66,-65,-78,-81,-72,-71,-80,-88,-87,-78,-84,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526457028361,-35,-42,-56,-64,-56,-70,-67,-66,-65,-78,-81,-72,-71,-80,-88,-87,-78,-84,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526457031385,-35,-42,-56,-64,-56,-70,-67,-66,-65,-78,-81,-72,-71,-80,-88,-87,-78,-84,-200,-200,-200,-82,-200,-200,-200,-200,-200
1526457034424,-36,-42,-58,-65,-61,-70,-68,-64,-67,-78,-81,-73,-72,-81,-200,-87,-79,-200,-200,-71,-76,-82,-83,-88,-85,-200,-200
1526457037452,-35,-42,-57,-65,-61,-71,-68,-67,-67,-78,-81,-73,-71,-81,-200,-87,-79,-200,-200,-71,-76,-82,-83,-88,-85,-90,-200
1526457040481,-35,-42,-57,-65,-61,-71,-68,-67,-67,-78,-81,-73,-71,-81,-200,-87,-79,-200,-200,-71,-76,-82,-83,-88,-85,-90,-200
1526457043515,-35,-42,-57,-65,-61,-71,-68,-67,-67,-78,-81,-73,-71,-81,-200,-87,-79,-200,-200,-71,-76,-82,-83,-88,-85,-90,-200
1526457046551,-35,-42,-56,-65,-62,-71,-66,-67,-67,-77,-81,-73,-73,-79,-90,-86,-78,-85,-200,-75,-76,-82,-200,-200,-200,-90,-200
1526457049579,-35,-42,-56,-68,-62,-70,-66,-66,-65,-77,-82,-73,-71,-79,-90,-88,-77,-85,-200,-75,-78,-82,-200,-200,-200,-90,-200
1526457052610,-35,-42,-56,-68,-62,-70,-66,-66,-65,-77,-82,-73,-71,-79,-90,-88,-77,-85,-200,-75,-78,-82,-200,-200,-200,-90,-200
1526457055640,-35,-42,-56,-68,-62,-70,-66,-66,-65,-77,-82,-73,-71,-79,-90,-88,-77,-85,-200,-75,-78,-82,-200,-200,-200,-90,-200
1526457058682,-37,-43,-55,-67,-62,-70,-66,-68,-65,-78,-80,-72,-70,-80,-90,-85,-79,-200,-200,-75,-78,-79,-87,-200,-200,-88,-91
1526457061713,-36,-43,-57,-65,-61,-70,-66,-68,-69,-78,-80,-74,-71,-80,-91,-85,-79,-200,-90,-75,-76,-79,-87,-200,-200,-88,-91
1526457064746,-36,-43,-57,-65,-61,-70,-66,-68,-69,-78,-80,-74,-71,-80,-91,-85,-79,-200,-90,-75,-76,-79,-87,-200,-200,-88,-91
1526457067775,-36,-43,-57,-65,-61,-70,-66,-68,-69,-78,-80,-74,-71,-80,-91,-85,-79,-200,-90,-75,-76,-79,-87,-200,-200,-88,-91
