,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,78:A5:04:41:EB:D1,7C:66:9D:7B:47:FC,78:A5:04:41:EB:E8
1526460909217,-86,-94,-200,-200
1526460909587,-87,-200,-200,-200
1526460915618,-75,-200,-200,-200
1526460915940,-92,-200,-97,-200
1526460930833,-93,-200,-97,-99
1526460935555,-88,-200,-200,-200
1526460935663,-90,-94,-200,-200
1526460935773,-88,-200,-200,-200
1526460940668,-73,-200,-200,-200
1526460940773,-90,-200,-200,-200
1526460940884,-73,-200,-96,-200
1526460945522,-91,-200,-200,-200
1526460945727,-89,-200,-200,-200
1526460945830,-90,-200,-200,-200
1526460945938,-90,-200,-200,-200
1526460950688,-89,-95,-200,-200
1526460960642,-94,-200,-200,-200
1526460960745,-95,-200,-95,-200
1526460960951,-95,-200,-200,-200
1526460965568,-89,-200,-200,-200
1526460965672,-89,-200,-96,-200
1526460965876,-88,-97,-200,-200
