,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:07
1526458244829,-91
1526458248189,-92
1526458249226,-96
1526458251430,-90
1526458260373,-92
1526458262686,-92
1526458269289,-94
1526458277040,-98
1526458278195,-94
1526458281485,-92
1526458286014,-93
1526458288222,-95
1526458291569,-98
1526458303721,-94
