,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:07,78:A5:04:41:EB:C7,78:A5:04:41:E5:5F
1526458388668,-91,-90,-200
1526458392164,-200,-87,-200
1526458394903,-92,-90,-200
1526458398270,-200,-90,-94
1526458400146,-200,-89,-91
1526458402640,-200,-87,-94
1526458404891,-200,-94,-93
1526458409404,-200,-95,-91
1526458416502,-200,-92,-90
1526458417262,-200,-93,-91
1526458421239,-200,-85,-92
1526458423111,-200,-88,-92
1526458425726,-200,-92,-200
1526458427109,-200,-87,-200
1526458427732,-200,-86,-200
1526458428983,-200,-88,-200
1526458429624,-200,-89,-200
1526458431480,-200,-92,-200
1526458436087,-200,-94,-200
1526458436200,-200,-89,-200
1526458436606,-200,-89,-200
1526458436823,-200,-95,-99
1526458437447,-200,-95,-200
1526458438077,-200,-94,-200
1526458438600,-200,-94,-200
1526458438807,-200,-87,-200
1526458439008,-200,-95,-200
1526458439637,-200,-94,-200
1526458439641,-200,-95,-200
1526458446901,-200,-89,-200
1526458448264,-200,-96,-200
1526458450274,-200,-96,-200
