,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:C7,78:A5:04:41:E5:5F,78:A5:04:41:EE:07
1526458468636,-93,-200,-200
1526458471154,-93,-200,-200
1526458482014,-91,-91,-200
1526458483884,-95,-200,-200
1526458485260,-95,-200,-200
1526458485882,-95,-95,-200
1526458495241,-92,-89,-93
1526458495865,-200,-94,-200
1526458497116,-92,-93,-200
1526458497992,-92,-200,-200
1526458498743,-92,-200,-200
1526458499481,-92,-92,-200
1526458501615,-91,-93,-200
1526458502357,-91,-94,-200
1526458504730,-92,-200,-200
1526458505360,-92,-200,-200
1526458506102,-91,-200,-200
1526458506742,-91,-200,-200
1526458507362,-91,-200,-200
1526458508735,-92,-200,-200
1526458512710,-91,-200,-200
1526458513234,-91,-95,-200
1526458516966,-93,-94,-200
