,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:97,78:A5:04:41:E9:D5,78:A5:04:41:E7:80,78:A5:04:41:EB:9C,78:A5:04:41:E9:FD,78:A5:04:41:E5:6B,78:A5:04:41:E9:CD,78:A5:04:41:E5:4E
1526454724417,-61,-82,-80,-88,-76,-77,-200,-200
1526454724535,-62,-84,-83,-200,-77,-200,-200,-200
1526454724638,-63,-200,-200,-200,-89,-78,-89,-200
1526454728721,-58,-200,-83,-91,-200,-80,-88,-200
1526454728829,-58,-200,-200,-200,-90,-80,-88,-200
1526454728946,-58,-200,-200,-200,-90,-200,-88,-200
1526454729055,-58,-200,-85,-200,-200,-200,-89,-200
1526454733851,-62,-200,-85,-200,-200,-200,-88,-200
1526454738817,-61,-200,-69,-200,-200,-200,-200,-200
1526454738931,-62,-200,-68,-200,-200,-200,-200,-200
1526454739033,-62,-200,-200,-200,-200,-200,-200,-200
1526454739135,-62,-200,-200,-200,-200,-200,-200,-200
1526454743693,-59,-85,-79,-200,-77,-200,-200,-88
1526454743793,-59,-200,-200,-200,-77,-78,-200,-89
1526454743889,-59,-85,-80,-200,-77,-79,-200,-88
1526454744005,-60,-200,-79,-200,-77,-79,-200,-200
1526454744106,-60,-200,-86,-200,-200,-78,-200,-200
1526454748693,-58,-89,-85,-200,-200,-80,-200,-200
1526454748793,-58,-89,-200,-200,-88,-80,-200,-200
1526454748896,-58,-90,-200,-200,-200,-80,-200,-200
1526454749003,-57,-89,-85,-200,-90,-79,-200,-200
1526454749107,-58,-200,-70,-200,-200,-200,-200,-200
1526454753695,-62,-200,-200,-200,-200,-200,-200,-200
1526454753897,-61,-200,-68,-200,-200,-200,-200,-200
1526454754108,-62,-200,-200,-200,-200,-79,-200,-88
1526454758740,-59,-85,-79,-200,-77,-200,-200,-200
1526454758907,-59,-200,-79,-200,-75,-79,-200,-89
1526454759003,-200,-86,-79,-200,-77,-200,-200,-200
1526454759120,-58,-86,-78,-200,-200,-79,-200,-200
1526454763703,-58,-91,-78,-85,-200,-80,-88,-200
1526454763882,-200,-88,-75,-200,-200,-80,-87,-200
1526454764044,-63,-88,-200,-84,-88,-200,-200,-200
1526454768781,-59,-200,-200,-200,-200,-200,-200,-200
1526454768888,-63,-200,-74,-200,-200,-200,-200,-200
1526454769000,-64,-88,-68,-200,-200,-77,-200,-200
1526454773697,-62,-200,-200,-81,-200,-77,-200,-200
1526454773815,-62,-200,-200,-80,-76,-77,-200,-200
1526454773919,-62,-88,-86,-200,-200,-77,-200,-200
1526454774092,-57,-200,-79,-84,-200,-77,-200,-200
1526454778798,-57,-200,-200,-85,-200,-81,-89,-200
1526454778911,-57,-200,-79,-85,-200,-81,-200,-200
1526454779015,-57,-200,-79,-85,-200,-83,-89,-200
1526454779108,-64,-200,-200,-200,-200,-82,-200,-200
1526454783754,-64,-200,-200,-200,-200,-88,-200,-200
1526454784481,-200,-200,-200,-200,-200,-82,-200,-200
