,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:D8,78:A5:04:41:EB:94,78:A5:04:41:E9:8E,78:A5:04:41:EB:FE,78:A5:04:41:EB:E8,7C:66:9D:7B:2E:21,78:A5:04:41:E9:E0,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D1,78:A5:04:41:E9:A5,78:A5:04:41:E9:E3,78:A5:04:41:EB:AC
1526464771358,-76,-86,-89,-89,-92,-99,-98,-200,-200,-200,-200,-200
1526464771657,-73,-81,-92,-88,-200,-99,-200,-94,-200,-200,-200,-200
1526464776354,-74,-81,-200,-200,-200,-100,-200,-95,-87,-200,-200,-200
1526464776459,-73,-81,-200,-200,-200,-99,-200,-200,-200,-88,-200,-200
1526464776595,-73,-81,-200,-200,-200,-200,-200,-94,-200,-89,-200,-200
1526464781240,-77,-81,-200,-200,-88,-200,-200,-95,-85,-200,-200,-200
1526464781337,-77,-200,-200,-200,-88,-200,-200,-95,-200,-200,-86,-200
1526464781445,-78,-81,-200,-200,-200,-94,-200,-94,-85,-200,-87,-200
1526464781613,-77,-200,-200,-200,-200,-92,-200,-96,-84,-200,-87,-200
1526464786232,-76,-80,-200,-200,-200,-200,-200,-200,-80,-200,-200,-90
1526464786432,-200,-80,-200,-200,-200,-99,-200,-200,-81,-200,-200,-90
1526464786550,-200,-80,-200,-200,-200,-200,-200,-94,-200,-200,-88,-90
1526464786652,-77,-80,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526464791260,-76,-79,-200,-200,-200,-200,-200,-200,-200,-89,-89,-200
1526464791378,-75,-200,-200,-200,-200,-97,-200,-94,-200,-89,-200,-200
1526464791489,-200,-80,-200,-200,-200,-200,-200,-95,-86,-90,-200,-200
1526464791597,-75,-80,-200,-200,-200,-200,-200,-96,-86,-89,-89,-200
1526464791689,-78,-80,-200,-200,-200,-101,-200,-96,-87,-89,-88,-200
1526464796730,-200,-81,-200,-200,-200,-94,-200,-95,-85,-200,-89,-200
1526464796838,-79,-200,-200,-200,-89,-94,-200,-94,-85,-200,-88,-200
1526464797010,-78,-78,-200,-200,-200,-100,-200,-200,-200,-200,-88,-200
1526464801334,-78,-78,-200,-200,-200,-98,-200,-200,-81,-200,-87,-88
1526464801653,-78,-80,-200,-200,-200,-99,-200,-200,-80,-200,-200,-200
1526464806716,-200,-200,-200,-200,-200,-98,-200,-94,-81,-200,-200,-200
1526464806956,-200,-200,-200,-200,-200,-102,-200,-200,-200,-200,-200,-200
1526464807056,-200,-200,-200,-200,-200,-100,-200,-95,-200,-200,-200,-200
1526464811247,-200,-80,-200,-200,-200,-96,-200,-200,-87,-200,-200,-200
1526464811356,-200,-80,-200,-200,-200,-97,-200,-200,-88,-200,-92,-200
1526464811464,-200,-80,-92,-200,-200,-97,-200,-94,-200,-200,-200,-200
1526464811562,-200,-80,-200,-200,-200,-100,-200,-92,-200,-200,-200,-200
1526464811657,-80,-80,-200,-200,-90,-95,-200,-94,-85,-200,-200,-200
1526464816305,-200,-80,-200,-200,-200,-94,-200,-95,-200,-200,-90,-200
1526464816399,-200,-80,-200,-200,-89,-94,-200,-96,-84,-200,-89,-200
1526464816517,-79,-200,-200,-200,-89,-94,-200,-97,-84,-200,-90,-200
1526464816622,-75,-82,-200,-89,-200,-200,-200,-200,-81,-200,-90,-89
1526464821373,-76,-200,-200,-89,-200,-200,-200,-200,-81,-200,-200,-200
1526464821484,-76,-82,-200,-200,-200,-200,-200,-94,-81,-200,-200,-200
1526464821624,-200,-81,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
1526464826258,-77,-200,-200,-200,-200,-94,-200,-93,-86,-200,-200,-200
1526464826332,-200,-79,-90,-200,-200,-94,-200,-94,-86,-91,-89,-200
1526464826436,-77,-200,-200,-200,-200,-200,-200,-94,-86,-90,-90,-200
1526464826559,-76,-200,-89,-200,-200,-97,-200,-94,-86,-91,-89,-200
1526464826658,-200,-200,-200,-200,-200,-103,-200,-94,-87,-200,-200,-200
1526464831492,-75,-200,-200,-93,-200,-200,-200,-96,-200,-200,-200,-200
1526464831593,-200,-81,-200,-200,-90,-93,-200,-95,-200,-200,-89,-200
1526464831757,-76,-82,-200,-90,-200,-200,-200,-200,-84,-200,-89,-200
1526464831864,-200,-82,-200,-200,-200,-200,-200,-96,-84,-200,-200,-200
