,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011f.0012-vlucci.com A1.4.0.1
,78:A5:04:41:EB:85,78:A5:04:41:E9:E0,F4:B8:5E:AA:77:7A
1526462183732,-96,-200,-200
1526462184800,-94,-92,-200
1526462189207,-92,-94,-94
1526462192488,-200,-90,-200
1526462193656,-94,-90,-92
1526462195869,-200,-92,-94
1526462200262,-200,-89,-96
1526462211393,-200,-89,-200
1526462212546,-200,-87,-200
1526462215915,-92,-87,-200
1526462218086,-97,-87,-200
1526462219150,-200,-96,-96
1526462223567,-200,-92,-200
1526462227947,-95,-93,-200
1526462228996,-93,-200,-200
1526462231312,-90,-87,-200
